symbol;asset_class

EURUSD;forex
GBPUSD;forex
USDJPY;forex
USDCHF;forex
USDCAD;forex
AUDUSD;forex
NZDUSD;forex

EURGBP;forex
EURJPY;forex
EURCHF;forex
EURAUD;forex
EURNZD;forex
EURCAD;forex
EURSGD;forex
EURHKD;forex
EURSEK;forex
EURNOK;forex
EURDKK;forex
EURPLN;forex
EURCZK;forex
EURHUF;forex
EURTRY;forex
EURZAR;forex
EURMXN;forex
EURRON;forex

GBPJPY;forex
GBPCHF;forex
GBPAUD;forex
GBPNZD;forex
GBPCAD;forex
GBPSGD;forex
GBPHKD;forex
GBPSEK;forex
GBPNOK;forex
GBPDKK;forex
GBPPLN;forex
GBPCZK;forex
GBPHUF;forex
GBPTRY;forex
GBPZAR;forex
GBPMXN;forex

AUDJPY;forex
AUDCHF;forex
AUDNZD;forex
AUDCAD;forex
AUDSGD;forex
AUDHKD;forex
AUDNOK;forex
AUDSEK;forex
AUDDKK;forex
AUDPLN;forex
AUDZAR;forex

NZDJPY;forex
NZDCHF;forex
NZDCAD;forex
NZDSGD;forex
NZDHKD;forex
NZDNOK;forex
NZDSEK;forex
NZDPLN;forex
NZDZAR;forex

CADJPY;forex
CADCHF;forex
CADSGD;forex
CADHKD;forex
CADNOK;forex
CADSEK;forex
CADDKK;forex
CADPLN;forex
CADZAR;forex

CHFJPY;forex
CHFSGD;forex
CHFNOK;forex
CHFSEK;forex
CHFDKK;forex
CHFPLN;forex
CHFZAR;forex

SGDJPY;forex
SGDHKD;forex
SGDNOK;forex
SGDSEK;forex

HKDJPY;forex
HKDSGD;forex

NOKJPY;forex
NOKSEK;forex
NOKDKK;forex
NOKPLN;forex
NOKZAR;forex

SEKJPY;forex
SEKDKK;forex
SEKPLN;forex
SEKZAR;forex

DKKJPY;forex
DKKPLN;forex
DKKZAR;forex

PLNJPY;forex
PLNCHF;forex
PLNSEK;forex
PLNCZK;forex
PLNHUF;forex

CZKJPY;forex
CZKSEK;forex
CZKHUF;forex

HUFJPY;forex
HUFSEK;forex

TRYJPY;forex
TRYZAR;forex

ZARJPY;forex
ZARHKD;forex

MXNJPY;forex
MXNZAR;forex

USDNOK;forex
USDSEK;forex
USDDKK;forex
USDPLN;forex
USDCZK;forex
USDHUF;forex
USDTRY;forex
USDZAR;forex
USDMXN;forex
USDHKD;forex
USDSGD;forex
USDRON;forex
USDILS;forex
USDTHB;forex
USDKRW;forex
USDINR;forex
USDIDR;forex
USDCNH;forex
USDCNY;forex
USDTWD;forex
USDPHP;forex
USDMYR;forex
USDCLP;forex
USDBRL;forex
USDCOP;forex
USDARS;forex
USDISK;forex
USDBGN;forex
USDHRK;forex
USDRSD;forex

EURILS;forex
